Date/Time,Heating:Electricity [J](Hourly) 
 01/15  12:00:00,562731.0380372748 
 01/15  13:00:00,574881.112222736 
 01/15  14:00:00,0.0 
 01/15  15:00:00,0.0 
 01/15  16:00:00,0.0 
 01/15  17:00:00,360000.0 
 01/15  18:00:00,720000.0 
 01/15  19:00:00,2058311.5348101815 
 01/15  20:00:00,2608869.8967049625 
 01/15  21:00:00,2450713.7210254427 
 01/15  22:00:00,2165604.1009319634 
 01/15  23:00:00,2574229.100812263 
 01/15  24:00:00,2976159.195956608 
 01/16  01:00:00,3111148.2926751254 
 01/16  02:00:00,3323818.5230837464 
 01/16  03:00:00,4029131.556013192 
 01/16  04:00:00,4582648.9970104555 
 01/16  05:00:00,5035771.296615953 
 01/16  06:00:00,4592411.135679575 
 01/16  07:00:00,5609552.823686306 
 01/16  08:00:00,5740959.65399313 
 01/16  09:00:00,3203318.7992386343 
 01/16  10:00:00,831056.7964600604 
 01/16  11:00:00,940779.8581722185 
 01/16  12:00:00,1408259.4779611796 
 01/16  13:00:00,1443422.8839145922 
 01/16  14:00:00,359999.99999999994 
 01/16  15:00:00,0.0 
 01/16  16:00:00,0.0 
 01/16  17:00:00,720000.0 
 01/16  18:00:00,720000.0 
 01/16  19:00:00,1953862.4650414707 
 01/16  20:00:00,2543506.785152957 
 01/16  21:00:00,2224246.3138564215 
 01/16  22:00:00,3319327.222972599 
 01/16  23:00:00,4055444.957038973 
 01/16  24:00:00,3838332.5003365665 
 01/17  01:00:00,2477449.9459316386 
 01/17  02:00:00,3913425.473381086 
 01/17  03:00:00,5273751.589901947 
 01/17  04:00:00,4935068.981925948 
 01/17  05:00:00,5310504.166003243 
 01/17  06:00:00,5093758.542731589 
 01/17  07:00:00,5603273.829096029 
 01/17  08:00:00,5608576.897229776 
 01/17  09:00:00,4137477.710868801 
 01/17  10:00:00,2251114.0796503923 
 01/17  11:00:00,2475022.214381596 
 01/17  12:00:00,3518905.841896694 
 01/17  13:00:00,3123039.4241335327 
 01/17  14:00:00,1676577.6913171245 
 01/17  15:00:00,720000.0 
 01/17  16:00:00,1838799.0264859493 
 01/17  17:00:00,3087752.0281744027 
 01/17  18:00:00,3331787.4002284985 
 01/17  19:00:00,4119883.1983689237 
 01/17  20:00:00,5106530.38481515 
 01/17  21:00:00,6301331.359461173 
 01/17  22:00:00,5995095.46638331 
 01/17  23:00:00,6264785.772868058 
 01/17  24:00:00,8505794.857244391 
 01/18  01:00:00,6122495.190983547 
 01/18  02:00:00,8803230.598564532 
 01/18  03:00:00,7583506.03871911 
 01/18  04:00:00,7474775.228467389 
 01/18  05:00:00,6684457.949630495 
 01/18  06:00:00,5693083.643258702 
 01/18  07:00:00,5669907.2172435885 
 01/18  08:00:00,4970696.883970585 
 01/18  09:00:00,2382782.461912476 
 01/18  10:00:00,187180.16291652722 
 01/18  11:00:00,0.0 
 01/18  12:00:00,0.0 
 01/18  13:00:00,0.0 
 01/18  14:00:00,0.0 
 01/18  15:00:00,0.0 
 01/18  16:00:00,0.0 
 01/18  17:00:00,0.0 
 01/18  18:00:00,0.0 
 01/18  19:00:00,720000.0 
 01/18  20:00:00,830422.9820947191 
 01/18  21:00:00,1230136.8779778895 
 01/18  22:00:00,1418896.8868111803 
 01/18  23:00:00,1455109.5627401907 
 01/18  24:00:00,2348551.2987827323 
 01/19  01:00:00,1661282.0856693704 
 01/19  02:00:00,2801885.3057237174 
 01/19  03:00:00,4221015.34746139 
 01/19  04:00:00,4851073.159579098 
 01/19  05:00:00,4596917.747700449 
 01/19  06:00:00,4548839.449811015 
 01/19  07:00:00,5105872.286574 
 01/19  08:00:00,4975335.926601041 
 01/19  09:00:00,2517953.0906048613 
 01/19  10:00:00,720000.0 
 01/19  11:00:00,360000.0 
 01/19  12:00:00,0.0 
 01/19  13:00:00,0.0 
 01/19  14:00:00,0.0 
 01/19  15:00:00,0.0 
 01/19  16:00:00,0.0 
 01/19  17:00:00,345409.0581752379 
 01/19  18:00:00,720000.0 
 01/19  19:00:00,719999.9999999999 
 01/19  20:00:00,1438205.7994952598 
 01/19  21:00:00,1516775.075536884 
 01/19  22:00:00,1927960.7243197036 
 01/19  23:00:00,3397937.9094907623 
 01/19  24:00:00,2624531.0295312535 
 01/20  01:00:00,2139120.26801333 
 01/20  02:00:00,3388254.1578899142 
 01/20  03:00:00,5336762.772568878 
 01/20  04:00:00,5400259.214105995 
 01/20  05:00:00,4382283.355689256 
 01/20  06:00:00,3516239.2189741125 
 01/20  07:00:00,4586794.5740819145 
 01/20  08:00:00,4378314.039045228 
 01/20  09:00:00,1678664.3774765455 
 01/20  10:00:00,897976.2372591394 
 01/20  11:00:00,0.0 
 01/20  12:00:00,0.0 
 01/20  13:00:00,0.0 
 01/20  14:00:00,0.0 
 01/20  15:00:00,207206.86815373102 
 01/20  16:00:00,312236.1889024417 
 01/20  17:00:00,1172539.8826431083 
 01/20  18:00:00,1223422.1428662862 
 01/20  19:00:00,3241566.4170344616 
 01/20  20:00:00,4109720.9290275835 
 01/20  21:00:00,3596390.09080215 
 01/20  22:00:00,4556832.167170141 
 01/20  23:00:00,6580579.754673111 
 01/20  24:00:00,5838972.677733043 
 01/21  01:00:00,3798416.230092112 
 01/21  02:00:00,5038241.65179842 
 01/21  03:00:00,5726418.387171553 
 01/21  04:00:00,6834335.183242088 
 01/21  05:00:00,6364299.470566316 
 01/21  06:00:00,5517620.764041146 
 01/21  07:00:00,8387608.9312140625 
 01/21  08:00:00,6169926.682799319 
 01/21  09:00:00,4350813.884348674 
 01/21  10:00:00,4238367.62137628 
 01/21  11:00:00,4274141.145975955 
 01/21  12:00:00,3846147.6476046205 
 01/21  13:00:00,3252373.5597330597 
 01/21  14:00:00,3441486.333711076 
 01/21  15:00:00,4607161.308293544 
 01/21  16:00:00,4674560.894536654 
 01/21  17:00:00,5157086.806132917 
 01/21  18:00:00,7629666.856580374 
 01/21  19:00:00,13682493.244817793 
 01/21  20:00:00,11173207.384039648 
 01/21  21:00:00,11087070.19551846 
 01/21  22:00:00,14949378.370208103 
 01/21  23:00:00,13776010.019044777 
 01/21  24:00:00,11408420.620564975 
 01/22  01:00:00,10347337.70757597 
 01/22  02:00:00,11755916.64926051 
 01/22  03:00:00,10696873.240601245 
 01/22  04:00:00,10065109.350949122 
 01/22  05:00:00,11347903.182583082 
 01/22  06:00:00,12880517.80718291 
 01/22  07:00:00,11959430.98958613 
 01/22  08:00:00,7728291.382865061 
 01/22  09:00:00,6420830.262653932 
 01/22  10:00:00,7481195.516420493 
 01/22  11:00:00,5462526.686525278 
 01/22  12:00:00,3198377.507010336 
 01/22  13:00:00,2406762.372150496 
 01/22  14:00:00,2683434.4429664123 
 01/22  15:00:00,1754838.2140615215 
 01/22  16:00:00,1259372.4194593118 
 01/22  17:00:00,2581179.9036351484 
 01/22  18:00:00,5011958.596032202 
 01/22  19:00:00,8642398.31568579 
 01/22  20:00:00,7735478.56849358 
 01/22  21:00:00,8470643.11976188 
 01/22  22:00:00,12498774.995059863 
 01/22  23:00:00,11338757.630612852 
 01/22  24:00:00,10110922.781391503 
 01/23  01:00:00,8303109.832172263 
 01/23  02:00:00,8131696.821959395 
 01/23  03:00:00,7315946.857637471 
 01/23  04:00:00,7949869.388143777 
 01/23  05:00:00,10554784.747871306 
 01/23  06:00:00,13094999.26500529 
 01/23  07:00:00,10981862.367883228 
 01/23  08:00:00,4590122.827347595 
 01/23  09:00:00,3737721.080566671 
 01/23  10:00:00,3846787.6425978113 
 01/23  11:00:00,2467692.596795842 
 01/23  12:00:00,544293.9849295183 
 01/23  13:00:00,0.0 
 01/23  14:00:00,0.0 
 01/23  15:00:00,0.0 
 01/23  16:00:00,0.0 
 01/23  17:00:00,720000.0 
 01/23  18:00:00,720000.0 
 01/23  19:00:00,1908654.74222653 
 01/23  20:00:00,1711131.7803101935 
 01/23  21:00:00,1849794.6064951648 
 01/23  22:00:00,3053020.16746259 
 01/23  23:00:00,2643823.48443129 
 01/23  24:00:00,2644190.1253890074 
 01/24  01:00:00,2073317.2286463093 
 01/24  02:00:00,2339356.4637065893 
 01/24  03:00:00,2625532.480092234 
 01/24  04:00:00,3130425.1605138183 
 01/24  05:00:00,3772439.7943321047 
 01/24  06:00:00,5529963.018606641 
 01/24  07:00:00,6620662.900090583 
 01/24  08:00:00,5459800.700176628 
 01/24  09:00:00,5991134.119613813 
 01/24  10:00:00,7338747.525711307 
 01/24  11:00:00,7695274.314167463 
 01/24  12:00:00,6110579.599772422 
 01/24  13:00:00,5747331.175159829 
 01/24  14:00:00,6213571.129917219 
 01/24  15:00:00,5192292.275702467 
 01/24  16:00:00,5724510.067641268 
 01/24  17:00:00,6839173.467668493 
 01/24  18:00:00,9002108.396208767 
 01/24  19:00:00,11275034.62965421 
 01/24  20:00:00,8354770.702698162 
 01/24  21:00:00,9491664.57280838 
 01/24  22:00:00,10565758.809051603 
 01/24  23:00:00,8521244.042000262 
 01/24  24:00:00,9592878.292224921 
 01/25  01:00:00,7512418.965824958 
 01/25  02:00:00,8586230.475251 
 01/25  03:00:00,10230311.682609187 
 01/25  04:00:00,11447373.978008691 
 01/25  05:00:00,12752745.532608062 
 01/25  06:00:00,15928817.330409765 
 01/25  07:00:00,13637179.703239135 
 01/25  08:00:00,9608320.58572456 
 01/25  09:00:00,6522409.688651962 
 01/25  10:00:00,4433175.733240282 
 01/25  11:00:00,3267611.580944929 
 01/25  12:00:00,2982210.996929556 
 01/25  13:00:00,3763073.468849536 
 01/25  14:00:00,3457414.3497474343 
 01/25  15:00:00,2523132.5086493017 
 01/25  16:00:00,2866481.2376357717 
 01/25  17:00:00,4193608.778827804 
 01/25  18:00:00,4834964.722399298 
 01/25  19:00:00,6332263.909072958 
 01/25  20:00:00,5926834.553169721 
 01/25  21:00:00,7509190.635708859 
 01/25  22:00:00,4610439.994021484 
 01/25  23:00:00,4631099.441501321 
 01/25  24:00:00,4313860.882417319 
 01/26  01:00:00,2535366.0432895254 
 01/26  02:00:00,3455314.861056641 
 01/26  03:00:00,3375463.475980632 
 01/26  04:00:00,3434960.3020301205 
 01/26  05:00:00,3345031.4007931724 
 01/26  06:00:00,3824056.2041361965 
 01/26  07:00:00,4744272.004032319 
 01/26  08:00:00,3916818.3450151356 
 01/26  09:00:00,2221455.4302450246 
 01/26  10:00:00,410696.4088625133 
 01/26  11:00:00,0.0 
 01/26  12:00:00,0.0 
 01/26  13:00:00,593894.1897149844 
 01/26  14:00:00,360000.0 
 01/26  15:00:00,720000.0 
 01/26  16:00:00,720000.0 
 01/26  17:00:00,720000.0 
 01/26  18:00:00,1845512.1820474686 
 01/26  19:00:00,4599783.751623355 
 01/26  20:00:00,4650933.537607035 
 01/26  21:00:00,3453692.6530886814 
 01/26  22:00:00,3701932.264048279 
 01/26  23:00:00,4696547.904284039 
 01/26  24:00:00,5091609.718625722 
 01/27  01:00:00,3629802.3279813384 
 01/27  02:00:00,4418700.57295669 
 01/27  03:00:00,4898451.231923935 
 01/27  04:00:00,5273835.999704179 
 01/27  05:00:00,5654535.981727176 
 01/27  06:00:00,6348422.664198505 
 01/27  07:00:00,9597594.985444263 
 01/27  08:00:00,7405370.572921099 
 01/27  09:00:00,3846762.7073631687 
 01/27  10:00:00,1506501.1356007378 
 01/27  11:00:00,1153332.5047224208 
 01/27  12:00:00,1309655.1589209223 
 01/27  13:00:00,2209898.947660827 
 01/27  14:00:00,720000.0 
 01/27  15:00:00,720000.0 
 01/27  16:00:00,1265282.2758184858 
 01/27  17:00:00,2254143.793248134 
 01/27  18:00:00,2103689.362555508 
 01/27  19:00:00,4426756.618820295 
 01/27  20:00:00,5683829.644302895 
 01/27  21:00:00,5989078.462101183 
 01/27  22:00:00,5693342.37937906 
 01/27  23:00:00,6773504.701156223 
 01/27  24:00:00,9125912.014293633 
 01/28  01:00:00,5150341.093816165 
 01/28  02:00:00,6885465.063440798 
 01/28  03:00:00,7623672.2347125895 
 01/28  04:00:00,10325956.269285917 
 01/28  05:00:00,12182591.352893434 
 01/28  06:00:00,13121973.431639452 
 01/28  07:00:00,15355502.899563279 
 01/28  08:00:00,13542337.126654435 
 01/28  09:00:00,6695466.504498355 
 01/28  10:00:00,3381896.6164440075 
 01/28  11:00:00,2867570.534979772 
 01/28  12:00:00,1709125.1394943595 
 01/28  13:00:00,720000.0 
 01/28  14:00:00,720000.0 
 01/28  15:00:00,720000.0 
 01/28  16:00:00,720000.0 
 01/28  17:00:00,720000.0 
 01/28  18:00:00,787012.105300195 
 01/28  19:00:00,4261023.259743056 
 01/28  20:00:00,4643072.427008932 
 01/28  21:00:00,4984087.024976048 
 01/28  22:00:00,6546240.61596543 
 01/28  23:00:00,8610914.801401382 
 01/28  24:00:00,8270555.326522387 
 01/29  01:00:00,6921643.887468968 
 01/29  02:00:00,8238900.7628722135 
 01/29  03:00:00,11551152.754069721 
 01/29  04:00:00,13694514.983616084 
 01/29  05:00:00,11787409.533142263 
 01/29  06:00:00,12972758.908084072 
 01/29  07:00:00,15976205.780193854 
 01/29  08:00:00,14208909.751448186 
 01/29  09:00:00,4537410.031486733 
 01/29  10:00:00,1743090.72773747 
 01/29  11:00:00,1748731.9666810576 
 01/29  12:00:00,1436389.6417272417 
 01/29  13:00:00,720000.0 
 01/29  14:00:00,720000.0 
 01/29  15:00:00,720000.0 
 01/29  16:00:00,720000.0 
 01/29  17:00:00,719999.9999999999 
 01/29  18:00:00,1054893.8227252662 
 01/29  19:00:00,3925075.6019344926 
 01/29  20:00:00,4184008.5961101246 
 01/29  21:00:00,3822419.3400599756 
 01/29  22:00:00,3552867.585444424 
 01/29  23:00:00,4621541.193698118 
 01/29  24:00:00,7264774.871603234 
 01/30  01:00:00,4548484.317037102 
 01/30  02:00:00,4996330.737020236 
 01/30  03:00:00,5849505.834034286 
 01/30  04:00:00,5440037.3946048375 
 01/30  05:00:00,5890416.616208913 
 01/30  06:00:00,5479221.699773933 
 01/30  07:00:00,7120161.738707513 
 01/30  08:00:00,7029607.150729935 
 01/30  09:00:00,5029915.174549365 
 01/30  10:00:00,4208133.739350614 
 01/30  11:00:00,4332770.736646241 
 01/30  12:00:00,4309027.146393052 
 01/30  13:00:00,3521691.8222905197 
 01/30  14:00:00,2785230.8222815087 
 01/30  15:00:00,2549947.3805397935 
 01/30  16:00:00,2999698.754438226 
 01/30  17:00:00,2053638.6714848527 
 01/30  18:00:00,2197476.434052242 
 01/30  19:00:00,4012120.4296913487 
 01/30  20:00:00,6253360.744199275 
 01/30  21:00:00,5987564.044274541 
 01/30  22:00:00,3742383.688805163 
 01/30  23:00:00,4076319.735636737 
 01/30  24:00:00,5180268.61990862 
 01/31  01:00:00,4238255.426611894 
 01/31  02:00:00,5771070.70957361 
 01/31  03:00:00,6526182.107715393 
 01/31  04:00:00,7445423.5239787 
 01/31  05:00:00,9798599.968898008 
 01/31  06:00:00,9777649.538272966 
 01/31  07:00:00,12535726.340534627 
 01/31  08:00:00,10950799.84407527 
 01/31  09:00:00,4498836.258719343 
 01/31  10:00:00,1740262.4077786654 
 01/31  11:00:00,1881464.5637097792 
 01/31  12:00:00,1618448.0748129536 
 01/31  13:00:00,766595.415174552 
 01/31  14:00:00,720000.0 
 01/31  15:00:00,720000.0 
 01/31  16:00:00,720000.0 
 01/31  17:00:00,720000.0 
 01/31  18:00:00,720000.0 
 01/31  19:00:00,3650942.6199596636 
 01/31  20:00:00,4621380.725293594 
 01/31  21:00:00,3543182.61514028 
 01/31  22:00:00,3951790.611368825 
 01/31  23:00:00,6401580.988948055 
 01/31  24:00:00,7522274.6198704 
